Order ID,Order Date,Year,Month,Quarter,Customer ID,Customer Name,Product ID,Category,Product Name,Quantity,Unit Price,Sales,City,State,District,Payment Method,Order Status,Rating,Shipping Days
ORD-00000001,2023-12-12,2023,12,4,CUST-02451,Customer 1322,PROD-0098,Beauty,Skincare,1,79.99,79.99,Phoenix,Phoenix,Downtown,PayPal,Delivered,4,3
ORD-00000002,2024-01-16,2024,1,1,CUST-00376,Customer 4656,PROD-0032,Electronics,Headphones,4,99.99,399.96,San Diego,San Diego,Gaslamp,Amazon Pay,Shipped,3,4
ORD-00000003,2024-02-01,2024,2,1,CUST-00576,Customer 3803,PROD-0087,Electronics,Headphones,5,999.99,4999.95,Houston,Houston,Galleria,Gift Card,Delivered,5,1
ORD-00000004,2023-11-09,2023,11,4,CUST-02339,Customer 4871,PROD-0097,Beauty,Shampoo,3,29.99,89.97,Chicago,Chicago,Wicker Park,Gift Card,Delivered,5,4
ORD-00000005,2023-08-26,2023,8,3,CUST-02394,Customer 3774,PROD-0037,Home,Bedding,3,79.99,239.97,San Antonio,San Antonio,The Pearl,PayPal,Delivered,4,2
ORD-00000006,2023-07-19,2023,7,3,CUST-03609,Customer 4115,PROD-0012,Clothing,Dress,4,79.99,319.96,San Antonio,San Antonio,Alamo Heights,Gift Card,Delivered,5,4
ORD-00000007,2023-01-21,2023,1,1,CUST-00011,Customer 1442,PROD-0062,Electronics,Phone,4,199.99,799.96,Chicago,Chicago,Lincoln Park,Debit Card,Shipped,5,2
ORD-00000008,2024-02-13,2024,2,1,CUST-04241,Customer 3149,PROD-0039,Beauty,Perfume,2,299.99,599.98,San Antonio,San Antonio,The Pearl,PayPal,Delivered,4,2
ORD-00000009,2023-08-04,2023,8,3,CUST-04063,Customer 1827,PROD-0054,Electronics,Tablet,4,199.99,799.96,San Antonio,San Antonio,The Pearl,Credit Card,Shipped,5,6
ORD-00000010,2023-08-03,2023,8,3,CUST-03704,Customer 743,PROD-0065,Food,Cereal,3,19.99,59.97,Chicago,Chicago,Loop,Credit Card,Shipped,5,5
ORD-00000011,2023-10-23,2023,10,4,CUST-02784,Customer 3261,PROD-0076,Electronics,Tablet,5,99.99,499.95,San Diego,San Diego,La Jolla,Gift Card,Delivered,3,3
